# Vendor Raw Capture Session: round1_crypto
# Started: 2026-02-15T04:43:22.572311+00:00
# Format: raw vendor responses, no parsing applied

╔══VENDOR_CALL══════════════════════════════════════════
vendor: yfinance
endpoint: download
ticker: BTC-USD
timestamp: 2026-02-15T04:43:22.571311+00:00
params: start=2024-01-01 end=2024-07-01 interval=1d auto_adjust=true
call_number: 1
╠══RAW_PAYLOAD══════════════════════════════════════════
Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Date,,,,,
2024-01-01,44167.33203,44175.4375,42214.97656,42280.23438,18426978443
2024-01-02,44957.96875,45899.70703,44176.94922,44187.14062,39335274536
2024-01-03,42848.17578,45503.24219,40813.53516,44961.60156,46342323118
2024-01-04,44179.92188,44770.02344,42675.17578,42855.81641,30448091210
2024-01-05,44162.69141,44353.28516,42784.71875,44192.98047,32336029347
2024-01-06,43989.19531,44227.63281,43475.15625,44178.95312,16092503468
2024-01-07,43943.09766,44495.57031,43662.23047,43998.46484,19330573863
2024-01-08,46970.50391,47218,43244.08203,43948.70703,42746192015
2024-01-09,46139.73047,47893.69922,45244.71484,46987.64062,39821290992
2024-01-10,46627.77734,47647.22266,44483.15234,46121.53906,50114613298
2024-01-11,46368.58594,48969.37109,45678.64453,46656.07422,45833734549
2024-01-12,42853.16797,46498.13672,41903.76953,46354.79297,43332698900
2024-01-13,42842.38281,43234.66016,42464.14453,42799.44531,20601860469
2024-01-14,41796.26953,43065.59766,41724.61328,42842.26172,17521429522
2024-01-15,42511.96875,43319.72266,41705.41797,41715.06641,22320220558
2024-01-16,43154.94531,43566.27344,42085.99609,42499.33594,24062872740
2024-01-17,42742.65234,43189.89062,42189.30859,43132.10156,20851232595
2024-01-18,41262.05859,42876.34766,40631.17188,42742.3125,25218357242
2024-01-19,41618.40625,42134.16016,40297.45703,41278.46094,25752407154
2024-01-20,41665.58594,41877.89453,41446.82422,41624.58984,11586690904
2024-01-21,41545.78516,41855.36719,41497.00781,41671.48828,9344043642
2024-01-22,39507.36719,41651.20703,39450.11719,41553.65234,31338708143
2024-01-23,39845.55078,40127.35156,38521.89453,39518.71484,29244553045
2024-01-24,40077.07422,40483.78516,39508.79688,39877.59375,22359526178
2024-01-25,39933.80859,40254.48047,39545.66406,40075.55078,18491782013
