model_id,n_days,mean_ret,sharpe,cum_ret,win_rate,avg_p
ADA_STOCH,266,0.002211,1.225,0.58801,0.387,0.544
XRP_BOLL,378,0.00094,0.461,0.35529,0.384,0.563
SOL_BOLL,418,0.001011,0.45,0.42266,0.445,0.553
SOL_EMA_CROSS,370,0.000404,0.171,0.14936,0.478,0.594
ETH_STOCH,245,0.000208,0.096,0.05099,0.40399999999999997,0.567
XRP_EMA_CROSS,400,8.8e-05,0.041,0.03508,0.512,0.563
SOL_VOL_BREAK,329,-0.000171,-0.089,-0.0564,0.45,0.573
AVAX_STOCH,192,-0.000205,-0.101,-0.03939,0.385,0.553
ADA_VOL_BREAK,233,-0.000252,-0.133,-0.05868,0.40299999999999997,0.542
DOGE_BOLL,355,-0.000372,-0.182,-0.13219,0.341,0.544
ETH_EMA_CROSS,414,-0.000388,-0.184,-0.16054,0.486,0.581
AVAX_BOLL,325,-0.001047,-0.429,-0.34015,0.44299999999999995,0.569
ADA_BOLL,422,-0.000996,-0.433,-0.42051,0.384,0.56
BNB_ATR_BREAK,409,-0.000321,-0.438,-0.13112,0.21,0.606
BTC_EMA_CROSS,382,-0.000556,-0.448,-0.21255,0.474,0.591
AVAX_ATR_BREAK,404,-0.000665,-0.466,-0.26859,0.248,0.6
BNB_BOLL,382,-0.000646,-0.478,-0.24695,0.38,0.558
BNB_VOL_BREAK,367,-0.000628,-0.481,-0.23061,0.46299999999999997,0.562
XRP_STOCH,255,-0.001081,-0.578,-0.27572,0.41600000000000004,0.537
BNB_EMA_CROSS,353,-0.001214,-0.773,-0.4287,0.456,0.588
DOGE_STOCH,180,-0.003326,-1.699,-0.59871,0.32799999999999996,0.556
BTC_BOLL,338,-0.00167,-1.742,-0.56438,0.349,0.567
ETH_BOLL,360,-0.003533,-1.906,-1.27202,0.397,0.564
ETH_VOL_BREAK,205,-0.003812,-2.254,-0.78149,0.4,0.552
ETH_ATR_BREAK,301,-0.002731,-2.337,-0.82207,0.21600000000000003,0.57
