symbol,base,suffix,quote,direction,underlying,underlying_exists,underlying_assumed,is_genuine
1INCHDOWNUSDT,1INCH,DOWN,USDT,short,1INCHUSDT,True,False,True
1INCHUPUSDT,1INCH,UP,USDT,long,1INCHUSDT,True,False,True
AAVEDOWNUSDT,AAVE,DOWN,USDT,short,AAVEUSDT,True,False,True
AAVEUPUSDT,AAVE,UP,USDT,long,AAVEUSDT,True,False,True
ADADOWNUSDT,ADA,DOWN,USDT,short,ADAUSDT,True,False,True
ADAUPUSDT,ADA,UP,USDT,long,ADAUSDT,True,False,True
BCHDOWNUSDT,BCH,DOWN,USDT,short,BCHUSDT,True,False,True
BCHUPUSDT,BCH,UP,USDT,long,BCHUSDT,True,False,True
BEARBUSD,(none),BEAR,BUSD,short,BTCBUSD,True,True,True
BEARUSDT,(none),BEAR,USDT,short,BTCUSDT,True,True,True
BNBBEARBUSD,BNB,BEAR,BUSD,short,BNBBUSD,True,False,True
BNBBEARUSDT,BNB,BEAR,USDT,short,BNBUSDT,True,False,True
BNBBULLBUSD,BNB,BULL,BUSD,long,BNBBUSD,True,False,True
BNBBULLUSDT,BNB,BULL,USDT,long,BNBUSDT,True,False,True
BNBDOWNUSDT,BNB,DOWN,USDT,short,BNBUSDT,True,False,True
BNBUPUSDT,BNB,UP,USDT,long,BNBUSDT,True,False,True
BTCDOWNUSDT,BTC,DOWN,USDT,short,BTCUSDT,True,False,True
BTCUPUSDT,BTC,UP,USDT,long,BTCUSDT,True,False,True
BULLBUSD,(none),BULL,BUSD,long,BTCBUSD,True,True,True
BULLUSDT,(none),BULL,USDT,long,BTCUSDT,True,True,True
DOTDOWNUSDT,DOT,DOWN,USDT,short,DOTUSDT,True,False,True
DOTUPUSDT,DOT,UP,USDT,long,DOTUSDT,True,False,True
EOSBEARBUSD,EOS,BEAR,BUSD,short,EOSBUSD,True,False,True
EOSBEARUSDT,EOS,BEAR,USDT,short,EOSUSDT,True,False,True
EOSBULLBUSD,EOS,BULL,BUSD,long,EOSBUSD,True,False,True
EOSBULLUSDT,EOS,BULL,USDT,long,EOSUSDT,True,False,True
EOSDOWNUSDT,EOS,DOWN,USDT,short,EOSUSDT,True,False,True
EOSUPUSDT,EOS,UP,USDT,long,EOSUSDT,True,False,True
ETHBEARBUSD,ETH,BEAR,BUSD,short,ETHBUSD,True,False,True
ETHBEARUSDT,ETH,BEAR,USDT,short,ETHUSDT,True,False,True
ETHBULLBUSD,ETH,BULL,BUSD,long,ETHBUSD,True,False,True
ETHBULLUSDT,ETH,BULL,USDT,long,ETHUSDT,True,False,True
ETHDOWNUSDT,ETH,DOWN,USDT,short,ETHUSDT,True,False,True
ETHUPUSDT,ETH,UP,USDT,long,ETHUSDT,True,False,True
FILDOWNUSDT,FIL,DOWN,USDT,short,FILUSDT,True,False,True
FILUPUSDT,FIL,UP,USDT,long,FILUSDT,True,False,True
JUPUSDC,J,UP,USDC,long,JUSDC,False,False,False
JUPUSDT,J,UP,USDT,long,JUSDT,False,False,False
LINKDOWNUSDT,LINK,DOWN,USDT,short,LINKUSDT,True,False,True
LINKUPUSDT,LINK,UP,USDT,long,LINKUSDT,True,False,True
LTCDOWNUSDT,LTC,DOWN,USDT,short,LTCUSDT,True,False,True
LTCUPUSDT,LTC,UP,USDT,long,LTCUSDT,True,False,True
SUSHIDOWNUSDT,SUSHI,DOWN,USDT,short,SUSHIUSDT,True,False,True
SUSHIUPUSDT,SUSHI,UP,USDT,long,SUSHIUSDT,True,False,True
SXPDOWNUSDT,SXP,DOWN,USDT,short,SXPUSDT,True,False,True
SXPUPUSDT,SXP,UP,USDT,long,SXPUSDT,True,False,True
SYRUPUSDC,SYR,UP,USDC,long,SYRUSDC,False,False,False
SYRUPUSDT,SYR,UP,USDT,long,SYRUSDT,False,False,False
TRXDOWNUSDT,TRX,DOWN,USDT,short,TRXUSDT,True,False,True
TRXUPUSDT,TRX,UP,USDT,long,TRXUSDT,True,False,True
UNIDOWNUSDT,UNI,DOWN,USDT,short,UNIUSDT,True,False,True
UNIUPUSDT,UNI,UP,USDT,long,UNIUSDT,True,False,True
XLMDOWNUSDT,XLM,DOWN,USDT,short,XLMUSDT,True,False,True
XLMUPUSDT,XLM,UP,USDT,long,XLMUSDT,True,False,True
XRPBEARBUSD,XRP,BEAR,BUSD,short,XRPBUSD,True,False,True
XRPBEARUSDT,XRP,BEAR,USDT,short,XRPUSDT,True,False,True
XRPBULLBUSD,XRP,BULL,BUSD,long,XRPBUSD,True,False,True
XRPBULLUSDT,XRP,BULL,USDT,long,XRPUSDT,True,False,True
XRPDOWNUSDT,XRP,DOWN,USDT,short,XRPUSDT,True,False,True
XRPUPUSDT,XRP,UP,USDT,long,XRPUSDT,True,False,True
XTZDOWNUSDT,XTZ,DOWN,USDT,short,XTZUSDT,True,False,True
XTZUPUSDT,XTZ,UP,USDT,long,XTZUSDT,True,False,True
YFIDOWNUSDT,YFI,DOWN,USDT,short,YFIUSDT,True,False,True
YFIUPUSDT,YFI,UP,USDT,long,YFIUSDT,True,False,True
