symbol,n_months,first,last,expected_months,contiguous,months_behind_frontier,delisted
1INCHDOWNUSDT,9,2021-04,2021-12,9,True,55,True
1INCHUPUSDT,9,2021-04,2021-12,9,True,55,True
AAVEDOWNUSDT,13,2020-11,2021-11,13,True,56,True
AAVEUPUSDT,13,2020-11,2021-11,13,True,56,True
ADADOWNUSDT,38,2020-07,2023-08,38,True,35,True
ADAUPUSDT,38,2020-07,2023-08,38,True,35,True
BCHDOWNUSDT,12,2020-10,2022-01,16,False,54,True
BCHUPUSDT,12,2020-10,2022-01,16,False,54,True
BEARUSDT,3,2020-01,2020-03,3,True,76,True
BNBBEARUSDT,1,2020-03,2020-03,1,True,76,True
BNBBULLUSDT,1,2020-03,2020-03,1,True,76,True
BNBDOWNUSDT,43,2020-08,2024-02,43,True,29,True
BNBUPUSDT,43,2020-08,2024-02,43,True,29,True
BTCDOWNUSDT,46,2020-05,2024-02,46,True,29,True
BTCUPUSDT,46,2020-05,2024-02,46,True,29,True
BULLUSDT,3,2020-01,2020-03,3,True,76,True
DOTDOWNUSDT,27,2020-09,2022-11,27,True,44,True
DOTUPUSDT,27,2020-09,2022-11,27,True,44,True
EOSBEARUSDT,2,2020-02,2020-03,2,True,76,True
EOSBULLUSDT,2,2020-02,2020-03,2,True,76,True
EOSDOWNUSDT,16,2020-09,2021-12,16,True,55,True
EOSUPUSDT,16,2020-09,2021-12,16,True,55,True
ETHBEARUSDT,3,2020-01,2020-03,3,True,76,True
ETHBULLUSDT,3,2020-01,2020-03,3,True,76,True
ETHDOWNUSDT,44,2020-07,2024-02,44,True,29,True
ETHUPUSDT,44,2020-07,2024-02,44,True,29,True
FILDOWNUSDT,16,2020-10,2022-01,16,True,54,True
FILUPUSDT,16,2020-10,2022-01,16,True,54,True
LINKDOWNUSDT,34,2020-07,2023-04,34,True,39,True
LINKUPUSDT,34,2020-07,2023-04,34,True,39,True
LTCDOWNUSDT,17,2020-09,2022-01,17,True,54,True
LTCUPUSDT,17,2020-09,2022-01,17,True,54,True
SUSHIDOWNUSDT,13,2020-12,2021-12,13,True,55,True
SUSHIUPUSDT,13,2020-12,2021-12,13,True,55,True
SXPDOWNUSDT,14,2020-10,2021-11,14,True,56,True
SXPUPUSDT,14,2020-10,2021-11,14,True,56,True
TRXDOWNUSDT,27,2020-09,2022-11,27,True,44,True
TRXUPUSDT,27,2020-09,2022-11,27,True,44,True
UNIDOWNUSDT,16,2020-09,2021-12,16,True,55,True
UNIUPUSDT,16,2020-09,2021-12,16,True,55,True
XLMDOWNUSDT,13,2020-12,2021-12,13,True,55,True
XLMUPUSDT,13,2020-12,2021-12,13,True,55,True
XRPBEARUSDT,2,2020-02,2020-03,2,True,76,True
XRPBULLUSDT,2,2020-02,2020-03,2,True,76,True
XRPDOWNUSDT,33,2020-09,2023-05,33,True,38,True
XRPUPUSDT,33,2020-09,2023-05,33,True,38,True
XTZDOWNUSDT,18,2020-08,2022-01,18,True,54,True
XTZUPUSDT,18,2020-08,2022-01,18,True,54,True
YFIDOWNUSDT,15,2020-10,2021-12,15,True,55,True
YFIUPUSDT,15,2020-10,2021-12,15,True,55,True
