class,class_name,declared_states,observed_states,observed_values,modal_share,n_evals_missing,pct_evals_missing,degenerate
A,trend,5,5,"[-2, -1, 0, 1, 2]",0.393,0,0.0,False
B,vol_level,4,4,"[0, 1, 2, 3]",0.491,0,0.0,False
C,vol_trend,3,3,"[-1, 0, 1]",0.518,0,0.0,False
D,serial_corr,5,2,"[0, 1]",0.625,0,0.0,False
E,microstructure,3,1,[-1],1.0,0,0.0,True
F,funding_positioning,5,3,"[-1, 0, 1]",0.902,0,0.0,False
G,liquidity,4,3,"[0, 1, 2]",0.643,0,0.0,False
H,cross_asset_corr,3,1,[2],1.0,0,0.0,True
I,volume_participation,4,3,"[0, 1, 2]",0.786,0,0.0,False
J,term_structure,3,3,"[-1, 0, 1]",0.464,0,0.0,False
K,dispersion,3,1,[0],1.0,112,100.0,True
L,rv_iv_spread,3,1,[0],1.0,0,0.0,True
