scenario,x_class,x_level,y_class,y_level,n_events
A2_cascades_BTC,B,low,G,tight,0
A2_cascades_BTC,B,low,G,mid,21
A2_cascades_BTC,B,low,G,wide,134
A2_cascades_BTC,B,mid,G,tight,0
A2_cascades_BTC,B,mid,G,mid,38
A2_cascades_BTC,B,mid,G,wide,23
A2_cascades_BTC,B,high,G,tight,2
A2_cascades_BTC,B,high,G,mid,11
A2_cascades_BTC,B,high,G,wide,0
A2_cascades_ETH,B,low,G,tight,0
A2_cascades_ETH,B,low,G,mid,8
A2_cascades_ETH,B,low,G,wide,46
A2_cascades_ETH,B,mid,G,tight,0
A2_cascades_ETH,B,mid,G,mid,7
A2_cascades_ETH,B,mid,G,wide,10
A2_cascades_ETH,B,high,G,tight,0
A2_cascades_ETH,B,high,G,mid,1
A2_cascades_ETH,B,high,G,wide,0
