scenario,x_class,x_state,y_class,y_state,n_events
A2_cascades_BTC,B,0,G,0,0
A2_cascades_BTC,B,0,G,1,21
A2_cascades_BTC,B,0,G,2,134
A2_cascades_BTC,B,0,G,3,0
A2_cascades_BTC,B,1,G,0,0
A2_cascades_BTC,B,1,G,1,38
A2_cascades_BTC,B,1,G,2,23
A2_cascades_BTC,B,1,G,3,0
A2_cascades_BTC,B,2,G,0,1
A2_cascades_BTC,B,2,G,1,9
A2_cascades_BTC,B,2,G,2,0
A2_cascades_BTC,B,2,G,3,0
A2_cascades_BTC,B,3,G,0,1
A2_cascades_BTC,B,3,G,1,2
A2_cascades_BTC,B,3,G,2,0
A2_cascades_BTC,B,3,G,3,0
A2_cascades_ETH,B,0,G,0,0
A2_cascades_ETH,B,0,G,1,8
A2_cascades_ETH,B,0,G,2,46
A2_cascades_ETH,B,0,G,3,0
A2_cascades_ETH,B,1,G,0,0
A2_cascades_ETH,B,1,G,1,7
A2_cascades_ETH,B,1,G,2,10
A2_cascades_ETH,B,1,G,3,0
A2_cascades_ETH,B,2,G,0,0
A2_cascades_ETH,B,2,G,1,1
A2_cascades_ETH,B,2,G,2,0
A2_cascades_ETH,B,2,G,3,0
A2_cascades_ETH,B,3,G,0,0
A2_cascades_ETH,B,3,G,1,0
A2_cascades_ETH,B,3,G,2,0
A2_cascades_ETH,B,3,G,3,0
