scenario,class,class_name,state,n_events
A2_cascades_BTC,A,trend,-2,4
A2_cascades_BTC,A,trend,-1,90
A2_cascades_BTC,A,trend,0,92
A2_cascades_BTC,A,trend,1,23
A2_cascades_BTC,A,trend,2,20
A2_cascades_BTC,B,vol_level,0,155
A2_cascades_BTC,B,vol_level,1,61
A2_cascades_BTC,B,vol_level,2,10
A2_cascades_BTC,B,vol_level,3,3
A2_cascades_BTC,C,vol_trend,-1,155
A2_cascades_BTC,C,vol_trend,0,59
A2_cascades_BTC,C,vol_trend,1,15
A2_cascades_BTC,D,serial_corr,-2,0
A2_cascades_BTC,D,serial_corr,-1,0
A2_cascades_BTC,D,serial_corr,0,168
A2_cascades_BTC,D,serial_corr,1,61
A2_cascades_BTC,D,serial_corr,2,0
A2_cascades_BTC,E,microstructure,-1,229
A2_cascades_BTC,E,microstructure,0,0
A2_cascades_BTC,E,microstructure,1,0
A2_cascades_BTC,F,funding_positioning,-2,0
A2_cascades_BTC,F,funding_positioning,-1,3
A2_cascades_BTC,F,funding_positioning,0,220
A2_cascades_BTC,F,funding_positioning,1,6
A2_cascades_BTC,F,funding_positioning,2,0
A2_cascades_BTC,G,liquidity,0,2
A2_cascades_BTC,G,liquidity,1,70
A2_cascades_BTC,G,liquidity,2,157
A2_cascades_BTC,G,liquidity,3,0
A2_cascades_BTC,H,cross_asset_corr,0,0
A2_cascades_BTC,H,cross_asset_corr,1,0
A2_cascades_BTC,H,cross_asset_corr,2,229
A2_cascades_BTC,I,volume_participation,0,95
A2_cascades_BTC,I,volume_participation,1,128
A2_cascades_BTC,I,volume_participation,2,6
A2_cascades_BTC,I,volume_participation,3,0
A2_cascades_BTC,J,term_structure,-1,113
A2_cascades_BTC,J,term_structure,0,77
A2_cascades_BTC,J,term_structure,1,39
A2_cascades_BTC,K,dispersion,0,229
A2_cascades_BTC,K,dispersion,1,0
A2_cascades_BTC,K,dispersion,2,0
A2_cascades_BTC,L,rv_iv_spread,-1,0
A2_cascades_BTC,L,rv_iv_spread,0,229
A2_cascades_BTC,L,rv_iv_spread,1,0
A2_cascades_ETH,A,trend,-2,1
A2_cascades_ETH,A,trend,-1,19
A2_cascades_ETH,A,trend,0,36
A2_cascades_ETH,A,trend,1,16
A2_cascades_ETH,A,trend,2,0
A2_cascades_ETH,B,vol_level,0,54
A2_cascades_ETH,B,vol_level,1,17
A2_cascades_ETH,B,vol_level,2,1
A2_cascades_ETH,B,vol_level,3,0
A2_cascades_ETH,C,vol_trend,-1,50
A2_cascades_ETH,C,vol_trend,0,22
A2_cascades_ETH,C,vol_trend,1,0
A2_cascades_ETH,D,serial_corr,-2,0
A2_cascades_ETH,D,serial_corr,-1,0
A2_cascades_ETH,D,serial_corr,0,54
A2_cascades_ETH,D,serial_corr,1,18
A2_cascades_ETH,D,serial_corr,2,0
A2_cascades_ETH,E,microstructure,-1,72
A2_cascades_ETH,E,microstructure,0,0
A2_cascades_ETH,E,microstructure,1,0
A2_cascades_ETH,F,funding_positioning,-2,0
A2_cascades_ETH,F,funding_positioning,-1,2
A2_cascades_ETH,F,funding_positioning,0,69
A2_cascades_ETH,F,funding_positioning,1,1
A2_cascades_ETH,F,funding_positioning,2,0
A2_cascades_ETH,G,liquidity,0,0
A2_cascades_ETH,G,liquidity,1,16
A2_cascades_ETH,G,liquidity,2,56
A2_cascades_ETH,G,liquidity,3,0
A2_cascades_ETH,H,cross_asset_corr,0,0
A2_cascades_ETH,H,cross_asset_corr,1,0
A2_cascades_ETH,H,cross_asset_corr,2,72
A2_cascades_ETH,I,volume_participation,0,41
A2_cascades_ETH,I,volume_participation,1,31
A2_cascades_ETH,I,volume_participation,2,0
A2_cascades_ETH,I,volume_participation,3,0
A2_cascades_ETH,J,term_structure,-1,43
A2_cascades_ETH,J,term_structure,0,15
A2_cascades_ETH,J,term_structure,1,14
A2_cascades_ETH,K,dispersion,0,72
A2_cascades_ETH,K,dispersion,1,0
A2_cascades_ETH,K,dispersion,2,0
A2_cascades_ETH,L,rv_iv_spread,-1,0
A2_cascades_ETH,L,rv_iv_spread,0,72
A2_cascades_ETH,L,rv_iv_spread,1,0
