ts_ms,n_missing,missing,class_A,class_B,class_C,class_D,class_E,class_F,class_G,class_H,class_I,class_J,class_K,class_L
1777489200000,1,K,-1,1,1,1,-1,0,1,2,1,1,0,0
1777575600000,1,K,-1,1,0,1,-1,-1,2,2,1,1,0,0
1777662000000,1,K,-1,0,0,1,-1,0,2,2,1,1,0,0
1777748400000,1,K,1,0,-1,1,-1,0,2,2,0,1,0,0
1777834800000,1,K,-1,0,-1,1,-1,0,2,2,0,1,0,0
1777921200000,1,K,1,1,1,1,-1,0,1,2,2,0,0,0
1778007600000,1,K,1,0,0,1,-1,-1,1,2,1,-1,0,0
1778094000000,1,K,1,1,0,1,-1,-1,1,2,1,0,0,0
1778180400000,1,K,1,1,0,1,-1,0,1,2,2,0,0,0
1778266800000,1,K,1,0,0,1,-1,0,1,2,1,0,0,0
1778353200000,1,K,1,0,-1,1,-1,0,1,2,1,-1,0,0
1778439600000,1,K,1,0,-1,0,-1,0,1,2,1,-1,0,0
1778526000000,1,K,-1,1,1,0,-1,0,1,2,1,-1,0,0
1778612400000,1,K,-1,1,0,0,-1,0,1,2,1,-1,0,0
1778698800000,1,K,0,1,0,0,-1,0,1,2,1,-1,0,0
1778785200000,1,K,0,1,0,0,-1,0,1,2,1,-1,0,0
1778871600000,1,K,0,1,0,0,-1,0,1,2,1,-1,0,0
1778958000000,1,K,0,0,0,0,-1,0,2,2,1,-1,0,0
1779044400000,1,K,-1,0,-1,0,-1,0,2,2,0,-1,0,0
1779130800000,1,K,-1,2,1,0,-1,0,1,2,2,-1,0,0
1779217200000,1,K,-1,1,0,0,-1,0,2,2,1,-1,0,0
1779303600000,1,K,-1,1,0,0,-1,0,2,2,1,-1,0,0
1779390000000,1,K,-1,1,0,0,-1,0,1,2,1,-1,0,0
1779476400000,1,K,-2,1,0,0,-1,0,2,2,1,-1,0,0
1779562800000,1,K,-1,1,0,0,-1,0,1,2,1,-1,0,0
1779649200000,1,K,-1,1,0,0,-1,0,1,2,1,-1,0,0
1779735600000,1,K,-1,1,0,0,-1,0,2,2,1,-1,0,0
1779822000000,1,K,-2,1,0,0,-1,0,1,2,1,-1,0,0
1779908400000,1,K,-2,1,0,0,-1,0,1,2,1,-1,0,0
1779994800000,1,K,-2,2,0,0,-1,0,1,2,1,-1,0,0
1780081200000,1,K,-1,1,0,0,-1,0,1,2,1,-1,0,0
1780167600000,1,K,-1,0,-1,0,-1,0,2,2,0,-1,0,0
1780254000000,1,K,-2,0,-1,0,-1,0,2,2,1,-1,0,0
1780340400000,1,K,-1,1,0,0,-1,1,1,2,1,-1,0,0
1780426800000,1,K,-2,3,1,0,-1,0,1,2,2,-1,0,0
1780513200000,1,K,-2,3,1,0,-1,0,1,2,2,-1,0,0
1780599600000,1,K,-2,3,1,0,-1,0,0,2,2,-1,0,0
1780686000000,1,K,-2,3,1,0,-1,-1,0,2,3,-1,0,0
1780772400000,1,K,-2,3,0,0,-1,0,0,2,2,0,0,0
1780858800000,1,K,-1,2,-1,0,-1,0,1,2,1,1,0,0
1780945200000,1,K,-1,3,0,0,-1,0,1,2,2,1,0,0
1781031600000,1,K,-2,2,-1,1,-1,-1,1,2,1,1,0,0
1781118000000,1,K,-2,2,-1,1,-1,0,1,2,1,1,0,0
1781204400000,1,K,-1,2,-1,1,-1,0,1,2,1,1,0,0
1781290800000,1,K,1,1,-1,0,-1,0,2,2,1,1,0,0
1781377200000,1,K,1,0,-1,0,-1,0,2,2,0,1,0,0
1781463600000,1,K,1,0,-1,0,-1,0,2,2,0,1,0,0
1781550000000,1,K,1,3,0,1,-1,0,1,2,1,1,0,0
1781636400000,1,K,1,2,0,1,-1,0,1,2,1,1,0,0
1781722800000,1,K,1,2,0,1,-1,0,1,2,1,1,0,0
1781809200000,1,K,1,1,0,1,-1,0,1,2,1,1,0,0
1781895600000,1,K,1,1,0,1,-1,0,2,2,1,1,0,0
1781982000000,1,K,1,1,-1,1,-1,0,2,2,0,1,0,0
1782068400000,1,K,1,0,-1,1,-1,0,2,2,0,0,0,0
1782154800000,1,K,-1,2,0,1,-1,0,1,2,1,0,0,0
1782241200000,1,K,0,2,0,1,-1,0,1,2,1,0,0,0
1782327600000,1,K,0,3,1,1,-1,0,1,2,1,0,0,0
1782414000000,1,K,-1,3,1,1,-1,-1,1,2,1,0,0,0
1782500400000,1,K,-1,3,1,1,-1,0,1,2,1,0,0,0
1782586800000,1,K,-1,1,-1,1,-1,0,2,2,0,1,0,0
1782673200000,1,K,-1,1,-1,0,-1,0,2,2,0,1,0,0
1782759600000,1,K,-1,3,0,0,-1,0,1,2,1,1,0,0
1782846000000,1,K,-1,1,-1,0,-1,0,2,2,1,0,0,0
1782932400000,1,K,0,2,0,0,-1,0,1,2,1,-1,0,0
1783018800000,1,K,0,2,0,0,-1,0,1,2,1,-1,0,0
1783105200000,1,K,1,1,0,1,-1,0,2,2,1,-1,0,0
1783191600000,1,K,1,1,0,0,-1,0,2,2,1,-1,0,0
1783278000000,1,K,1,0,-1,1,-1,0,1,2,1,-1,0,0
1783364400000,1,K,1,2,0,0,-1,0,1,2,1,-1,0,0
1783450800000,1,K,1,2,0,0,-1,0,1,2,1,-1,0,0
1783537200000,1,K,1,1,0,0,-1,0,1,2,1,-1,0,0
1783623600000,1,K,1,1,0,0,-1,0,2,2,1,-1,0,0
1783710000000,1,K,1,1,0,0,-1,0,1,2,1,-1,0,0
1783796400000,1,K,1,0,-1,0,-1,0,2,2,1,-1,0,0
1783882800000,1,K,1,0,-1,0,-1,0,2,2,1,-1,0,0
1783969200000,1,K,-1,2,0,0,-1,0,1,2,1,-1,0,0
1784055600000,1,K,1,2,0,0,-1,0,1,2,1,-1,0,0
1784142000000,1,K,1,1,0,0,-1,0,1,2,1,-1,0,0
1784228400000,1,K,1,1,0,0,-1,0,1,2,1,-1,0,0
1784314800000,1,K,1,1,0,0,-1,0,1,2,1,-1,0,0
1784401200000,1,K,1,0,-1,0,-1,0,2,2,0,0,0,0
1784487600000,1,K,1,0,-1,1,-1,0,2,2,1,-1,0,0
1784574000000,1,K,1,2,0,1,-1,0,1,2,1,-1,0,0
1784660400000,1,K,1,1,0,1,-1,0,1,2,1,-1,0,0
1784746800000,1,K,1,1,0,1,-1,0,1,2,1,0,0,0
1784833200000,1,K,1,1,0,1,-1,0,1,2,1,1,0,0
1784919600000,1,K,1,1,0,0,-1,0,2,2,1,1,0,0
1785006000000,1,K,0,0,-1,0,-1,0,2,2,0,1,0,0
1785092400000,1,K,0,0,-1,0,-1,0,2,2,0,1,0,0
1785178800000,1,K,1,2,1,1,-1,0,1,2,1,1,0,0
1785265200000,1,K,0,2,1,1,-1,0,1,2,1,1,0,0
1785351600000,1,K,0,2,0,1,-1,0,1,2,1,1,0,0
1785438000000,1,K,0,1,0,1,-1,0,2,2,1,1,0,0
1785524400000,1,K,0,1,0,1,-1,0,1,2,1,1,0,0
1785610800000,1,K,0,0,-1,1,-1,0,2,2,0,0,0,0
1785697200000,1,K,0,0,-1,1,-1,0,2,2,1,0,0,0
1785783600000,1,K,0,1,0,0,-1,0,2,2,1,0,0,0
1785870000000,1,K,0,1,0,0,-1,0,1,2,1,-1,0,0
1785956400000,1,K,0,1,0,1,-1,0,1,2,1,0,0,0
1786042800000,1,K,0,1,0,0,-1,0,1,2,1,0,0,0
1786129200000,1,K,0,0,0,0,-1,0,1,2,1,0,0,0
1786215600000,1,K,0,0,-1,0,-1,0,2,2,0,0,0,0
1786302000000,1,K,0,0,-1,0,-1,0,2,2,0,0,0,0
1786388400000,1,K,0,1,0,0,-1,0,1,2,1,0,0,0
1786474800000,1,K,0,0,0,0,-1,0,1,2,1,0,0,0
1786561200000,1,K,0,0,0,0,-1,0,1,2,1,0,0,0
1786647600000,1,K,0,0,0,0,-1,0,1,2,1,-1,0,0
1786734000000,1,K,0,0,0,0,-1,0,2,2,1,-1,0,0
1786820400000,1,K,0,0,-1,0,-1,0,2,2,0,-1,0,0
1786906800000,1,K,0,0,-1,0,-1,0,2,2,0,-1,0,0
1786993200000,1,K,0,1,1,0,-1,0,1,2,1,-1,0,0
1787079600000,1,K,0,0,0,0,-1,0,1,2,1,-1,0,0
